Date of report,Confirmed cases cumulative,Confirmed deaths cumulative,Cumulative suspected cases,Change in confirmed cumulative cases since previous report,Change in confirmed cumulative deaths since previous report,Change in suspected cases since previous report
14-May-26,8,4,246,8,4,246
15-May-26,8,4,246,0,0,0
16-May-26,8,4,246,0,0,0
17-May-26,13,4,246,5,0,0
18-May-26,33,4,516,20,0,270
19-May-26,51,4,575,18,0,59
20-May-26,64,6,671,13,2,96
21-May-26,83,9,746,19,3,75
22-May-26,91,10,867,8,1,121
23-May-26,101,10,904,10,0,37
24-May-26,105,10,906,4,0,2
25-May-26,106,12,998,1,2,92
26-May-26,121,17,1077,15,5,79
27-May-26,125,17,906,4,0,-171
28-May-26,210,17,349,85,0,-557
29-May-26,263,42,349,53,25,0
30-May-26,238,42,321,-25,0,-28
31-May-26,321,48,220,83,6,-101
1-Jun-26,344,60,289,23,12,69
2-Jun-26,363,62,206,19,2,-83
3-Jun-26,381,64,233,18,2,27
4-Jun-26,452,82,153,71,18,-80
5-Jun-26,488,86,119,36,4,-34
6-Jun-26,515,91,117,27,5,-2
7-Jun-26,550,101,94,35,10,-23
8-Jun-26,598,115,138,48,14,44
9-Jun-26,635,127,119,37,12,-19
10-Jun-26,676,136,119,41,9,0
11-Jun-26,689,139,168,13,3,49
12-Jun-26,NA,NA,NA,0,0,0
13-Jun-26,782,181,136,93,42,-32
14-Jun-26,808,192,165,26,11,29
15-Jun-26,837,196,235,29,4,70
16-Jun-26,875,202,192,38,6,-43
17-Jun-26,896,232,151,21,30,-41
18-Jun-26,933,245,238,37,13,87
19-Jun-26,956,247,162,23,2,-76
20-Jun-26,1003,254,201,47,7,39
21-Jun-26,1048,267,202,45,13,1
22-Jun-26,1094,277,131,46,10,-71
23-Jun-26,1118,291,138,24,14,7
24-Jun-26,1155,304,154,37,13,16
25-Jun-26,1203,321,265,48,17,111
26-Jun-26,NA,NA,NA,0,0,0
27-Jun-26,1274,360,239,71,39,-26
